Query_ID, AvgPrec@10, AvgPrec@20, NDCG@10, NDCG@20, 
126, 0.633, 0.6706, 0.3148, 0.3536
127, 0.4657, 0.4657, 0.3053, 0.2084
128, 1.0, 1.0, 0.8497, 0.8497
129, 0.7857, 0.8633, 0.4934, 0.5774
130, 0.6968, 0.6968, 0.551, 0.551
131, 0.6428, 0.7046, 0.4925, 0.4957
132, 0.225, 0.2269, 0.1044, 0.1048
133, 0.9627, 0.9443, 0.7808, 0.8076
134, 0.6667, 0.5354, 0.2115, 0.2064
135, 0.0, 0.0526, 0.0, 0.0386
136, 0.9472, 0.8603, 0.696, 0.6293
137, 0.6867, 0.6347, 0.3585, 0.3266
138, 0.1111, 0.1471, 0.106, 0.1925
139, 0.7886, 0.8011, 0.421, 0.4461
140, 0.7198, 0.7271, 0.566, 0.5461
141, 1.0, 0.6, 0.3806, 0.3184
142, 0.9094, 0.8107, 0.7875, 0.667
143, 1.0, 0.9946, 0.7355, 0.7895
144, 0.52, 0.5262, 0.528, 0.7152
145, 0.7754, 0.6429, 0.3018, 0.3001
146, 0.0, 0.0, 0.0, 0.0
147, 0.4676, 0.5766, 0.4138, 0.5029
148, 1.0, 0.9917, 0.8429, 0.765
149, 0.1964, 0.3432, 0.1312, 0.3923
150, 0.9444, 0.8154, 0.4898, 0.4245
151, 0.9765, 0.939, 0.8653, 0.8503
152, 0.8803, 0.853, 0.6717, 0.6796
153, 0.7133, 0.648, 0.4323, 0.476
154, 1.0, 1.0, 1.0, 1.0
155, 0.4974, 0.5293, 0.397, 0.3629
156, 0.9415, 0.9415, 0.9367, 0.9367
157, 1.0, 0.4252, 0.1011, 0.1385
158, 0.2, 0.2, 0.0696, 0.0468
159, 0.5426, 0.5143, 0.3341, 0.2558
160, 0.125, 0.1125, 0.0317, 0.0406
161, 0.3808, 0.4468, 0.1525, 0.2821
162, 1.0, 1.0, 0.7386, 0.6909
163, 0.7233, 0.6938, 0.4466, 0.57
164, 0.6636, 0.715, 0.6292, 0.5891
165, 0.5833, 0.4415, 0.2216, 0.2261
166, 0.0, 0.0714, 0.0, 0.0298
167, 1.0, 0.9974, 0.7047, 0.7215
168, 0.787, 0.7602, 0.3637, 0.4647
169, 0.0, 0.0, 0.0, 0.0
170, 0.3694, 0.3443, 0.1923, 0.2585
171, 0.0, 0.0, 0.0, 0.0
172, 0.7885, 0.7259, 0.6871, 0.7325
173, 0.1, 0.1, 0.0286, 0.0193
174, 0.125, 0.1534, 0.0634, 0.0612
175, 0.9821, 0.8645, 0.6419, 0.5482
mAP@10 = 0.6105
mAP@20 = 0.5822
averNDCG@10 = 0.4114
averNDCG@20 = 0.4238
